Species
E (entity)	1	E1
V_101_93        -0.8286345      1.094109        -1.089093
V_101_94        -1.099744       0.9218042       -0.9745134
V_101_95        -1.015555       1.014   -0.8970763
V_101_96        -1.016595       1.127651        -0.9765597
V_101_97        -0.9916138      1.071964        -0.9984036
V_101_98        -1.199136       1.143698        -1.170768
V_101_99        -0.9432998      1.008714        -0.8943064
V_101_100       -0.8948176      0.9734777       -1.025267
V_110_1 -0.9366278      -0.9952879      1.012731
V_110_2 -0.9966099      -0.913317       0.8990179
V_110_3 -0.8923663      -0.988873       0.8929472
V_110_4 -1.081585       -0.9678312      1.185678
V_110_5 -0.9868488      -0.9879214      1.155212
V_110_6 -1.153376       -0.9271958      1.02437
V_110_7 -0.9201093      -0.8865094      1.064901
V_110_8 -0.8409575      -0.9234878      0.8311582
V_110_9 -1.035266       -1.125285       1.020153
V_110_10        -0.9751185      -1.088399       1.169409
V_110_11        -1.137855       -1.069826       0.9724801
V_110_12        -1.102741       -0.7486335      1.204687
V_110_13        -1.100749       -0.9595287      1.082661
V_110_14        -0.9193175      -1.141456       0.9164767
V_110_15        -1.046503       -0.9107721      1.048498
V_110_16        -0.977497       -1.090227       1.048984
V_110_17        -0.9691895      -1.094725       0.8358646
V_110_18        -0.7820951      -0.9274738      1.173242
V_110_19        -0.9940036      -0.994127       0.9699904
V_110_20        -1.07426        -1.038704       1.092205
V_110_21        -0.9281396      -1.124496       0.8415283
V_110_22        -0.948633       -1.069551       1.043262
V_110_23        -1.0318 -0.9985436      1.010798
V_110_24        -0.9572608      -0.9283663      1.103786
V_110_25        -0.9178522      -0.9319813      0.9625166
V_110_26        -0.9815573      -1.06015        0.9317335
V_110_27        -1.03378        -0.9476721      0.7208362
V_110_28        -1.174382       -0.9925373      1.006312
V_110_29        -1.001379       -0.9682295      0.8893253
V_110_30        -0.9308701      -1.16082        1.003145
V_110_31        -0.8971008      -0.7963037      0.9260867
V_110_32        -1.072141       -1.141741       0.9255861
V_110_33        -1.006747       -1.011141       1.241657
V_110_34        -0.902389       -1.0336 0.8780385
V_110_35        -0.9366195      -1.009668       1.135621
V_110_36        -0.8809448      -0.856643       0.9872108
V_110_37        -0.980277       -0.8432943      0.9048561
V_110_38        -0.9163816      -1.042131       1.06639
V_110_39        -1.021431       -0.9042181      0.999612
V_110_40        -0.9768374      -0.9556681      1.13969
V_110_41        -0.9186749      -1.022137       1.002156
V_110_42        -1.091729       -0.9743227      1.121901
V_110_43        -1.005945       -1.070599       1.024912
V_110_44        -1.050239       -0.8561472      1.076231
V_110_45        -1.012152       -1.012019       1.051187
V_110_46        -0.8726389      -1.019011       0.9509919
V_110_47        -1.070487       -0.8685959      1.000049
V_110_48        -1.035197       -1.068231       1.050418
V_110_49        -1.068974       -0.9208709      0.8939811
V_110_50        -0.7393842      -1.089248       0.8061805
V_110_51        -1.154751       -1.041921       1.065146
V_110_52        -0.9911622      -1.010269       0.9532407
V_110_53        -1.066738       -1.004887       1.02084
V_110_54        -1.088995       -0.8110514      1.02174
V_110_55        -0.8942809      -1.103753       0.9932651
V_110_56        -1.035174       -1.051756       1.026164
V_110_57        -0.9386132      -1.035118       0.9340979
V_110_58        -0.8499893      -0.8985162      0.9718353
V_110_59        -0.9861987      -1.030518       0.9483255
V_110_60        -1.048702       -0.9892113      0.963927
V_110_61        -1.105202       -1.008564       1.072727
V_110_62        -1.011482       -0.942865       0.8947496
V_110_63        -1.03835        -0.9125582      1.154208
V_110_64        -0.6377134      -0.9332051      0.9227765
V_110_65        -0.9937593      -1.191365       0.836968
V_110_66        -1.054192       -1.070823       0.9380544
V_110_67        -1.070494       -0.9557703      0.867588
V_110_68        -1.041594       -0.8185147      1.076491
V_110_69        -1.036657       -1.04418        1.104416
V_110_70        -1.043175       -0.82166        1.037932
V_110_71        -1.088799       -1.019563       1.091814
V_110_72        -1.021753       -1.107718       0.9161756
V_110_73        -0.8949971      -0.9429567      0.9107287
V_110_74        -1.079525       -0.9777332      0.8330112
V_110_75        -1.193908       -1.056175       1.033268
V_110_76        -1.100798       -1.095319       0.9412354
V_110_77        -0.9440273      -1.116377       0.8438407
V_110_78        -1.068851       -0.9859168      1.037764
V_110_79        -1.04774        -0.9545121      1.160718
V_110_80        -1.009393       -0.992098       0.9184419
V_110_81        -1.048144       -1.01752        1.020931
V_110_82        -1.008125       -0.877395       1.152693
V_110_83        -1.035292       -0.8979592      0.9089772
V_110_84        -1.138159       -0.9623464      1.106043
V_110_85        -1.138663       -1.197724       1.037398
V_110_86        -0.9707676      -0.8735201      0.8814681
V_110_87        -1.208062       -0.9434133      0.7498996
V_110_88        -0.8872195      -0.8679231      0.9809621
V_110_89        -1.028948       -1.089868       0.9411299
V_110_90        -0.990071       -0.9541393      1.10101
V_110_91        -0.9873255      -1.191118       0.9799337
V_110_92        -0.8197727      -0.9299981      0.9815205
V_110_93        -0.8286345      -0.9058912      0.910907
V_110_94        -1.099744       -1.078196       1.025487
V_110_95        -1.015555       -0.9860004      1.102924
V_110_96        -1.016595       -0.8723486      1.02344
V_110_97        -0.9916138      -0.9280356      1.001596
V_110_98        -1.199136       -0.8563018      0.8292321
V_110_99        -0.9432998      -0.9912861      1.105694
V_110_100       -0.8948176      -1.026522       0.9747329
V_111_1 -0.9366278      -0.9952879      -0.9872689
V_111_2 -0.9966099      -0.913317       -1.100982
V_111_3 -0.8923663      -0.988873       -1.107053
V_111_4 -1.081585       -0.9678312      -0.814322
V_111_5 -0.9868488      -0.9879214      -0.844788
V_111_6 -1.153376       -0.9271958      -0.9756303
V_111_7 -0.9201093      -0.8865094      -0.9350986
V_111_8 -0.8409575      -0.9234878      -1.168842
V_111_9 -1.035266       -1.125285       -0.9798466
V_111_10        -0.9751185      -1.088399       -0.8305914
V_111_11        -1.137855       -1.069826       -1.02752
V_111_12        -1.102741       -0.7486335      -0.7953129
V_111_13        -1.100749       -0.9595287      -0.9173393
V_111_14        -0.9193175      -1.141456       -1.083523
V_111_15        -1.046503       -0.9107721      -0.9515019
V_111_16        -0.977497       -1.090227       -0.9510164
V_111_17        -0.9691895      -1.094725       -1.164135
V_111_18        -0.7820951      -0.9274738      -0.8267577
V_111_19        -0.9940036      -0.994127       -1.03001
V_111_20        -1.07426        -1.038704       -0.9077951
V_111_21        -0.9281396      -1.124496       -1.158472
V_111_22        -0.948633       -1.069551       -0.9567385
V_111_23        -1.0318 -0.9985436      -0.9892017
V_111_24        -0.9572608      -0.9283663      -0.8962135
V_111_25        -0.9178522      -0.9319813      -1.037483
V_111_26        -0.9815573      -1.06015        -1.068267
V_111_27        -1.03378        -0.9476721      -1.279164
V_111_28        -1.174382       -0.9925373      -0.993688
V_111_29        -1.001379       -0.9682295      -1.110675
V_111_30        -0.9308701      -1.16082        -0.9968547
V_111_31        -0.8971008      -0.7963037      -1.073913
V_111_32        -1.072141       -1.141741       -1.074414
V_111_33        -1.006747       -1.011141       -0.7583431
V_111_34        -0.902389       -1.0336 -1.121961
V_111_35        -0.9366195      -1.009668       -0.8643791
V_111_36        -0.8809448      -0.856643       -1.012789
V_111_37        -0.980277       -0.8432943      -1.095144
V_111_38        -0.9163816      -1.042131       -0.9336104
V_111_39        -1.021431       -0.9042181      -1.000388
V_111_40        -0.9768374      -0.9556681      -0.8603096
V_111_41        -0.9186749      -1.022137       -0.9978439
V_111_42        -1.091729       -0.9743227      -0.8780988
V_111_43        -1.005945       -1.070599       -0.9750882
V_111_44        -1.050239       -0.8561472      -0.9237688
V_111_45        -1.012152       -1.012019       -0.9488128
V_111_46        -0.8726389      -1.019011       -1.049008
V_111_47        -1.070487       -0.8685959      -0.9999513
V_111_48        -1.035197       -1.068231       -0.9495823
V_111_49        -1.068974       -0.9208709      -1.106019
V_111_50        -0.7393842      -1.089248       -1.193819
V_111_51        -1.154751       -1.041921       -0.9348537
V_111_52        -0.9911622      -1.010269       -1.046759
V_111_53        -1.066738       -1.004887       -0.9791598
V_111_54        -1.088995       -0.8110514      -0.9782603
V_111_55        -0.8942809      -1.103753       -1.006735
V_111_56        -1.035174       -1.051756       -0.9738361
V_111_57        -0.9386132      -1.035118       -1.065902
V_111_58        -0.8499893      -0.8985162      -1.028165
V_111_59        -0.9861987      -1.030518       -1.051674
V_111_60        -1.048702       -0.9892113      -1.036073
V_111_61        -1.105202       -1.008564       -0.9272731
V_111_62        -1.011482       -0.942865       -1.10525
V_111_63        -1.03835        -0.9125582      -0.8457916
V_111_64        -0.6377134      -0.9332051      -1.077223
V_111_65        -0.9937593      -1.191365       -1.163032
V_111_66        -1.054192       -1.070823       -1.061946
V_111_67        -1.070494       -0.9557703      -1.132412
V_111_68        -1.041594       -0.8185147      -0.9235086
V_111_69        -1.036657       -1.04418        -0.8955842
V_111_70        -1.043175       -0.82166        -0.9620681
V_111_71        -1.088799       -1.019563       -0.9081861
V_111_72        -1.021753       -1.107718       -1.083824
V_111_73        -0.8949971      -0.9429567      -1.089271
V_111_74        -1.079525       -0.9777332      -1.166989
V_111_75        -1.193908       -1.056175       -0.9667324
V_111_76        -1.100798       -1.095319       -1.058765
V_111_77        -0.9440273      -1.116377       -1.156159
V_111_78        -1.068851       -0.9859168      -0.9622357
V_111_79        -1.04774        -0.9545121      -0.8392817
V_111_80        -1.009393       -0.992098       -1.081558
V_111_81        -1.048144       -1.01752        -0.9790686
V_111_82        -1.008125       -0.877395       -0.8473074
V_111_83        -1.035292       -0.8979592      -1.091023
V_111_84        -1.138159       -0.9623464      -0.8939566
V_111_85        -1.138663       -1.197724       -0.9626016
V_111_86        -0.9707676      -0.8735201      -1.118532
V_111_87        -1.208062       -0.9434133      -1.2501
V_111_88        -0.8872195      -0.8679231      -1.019038
V_111_89        -1.028948       -1.089868       -1.05887
V_111_90        -0.990071       -0.9541393      -0.8989903
V_111_91        -0.9873255      -1.191118       -1.020066
V_111_92        -0.8197727      -0.9299981      -1.01848
V_111_93        -0.8286345      -0.9058912      -1.089093
V_111_94        -1.099744       -1.078196       -0.9745134
V_111_95        -1.015555       -0.9860004      -0.8970763
V_111_96        -1.016595       -0.8723486      -0.9765597
V_111_97        -0.9916138      -0.9280356      -0.9984036
V_111_98        -1.199136       -0.8563018      -1.170768
V_111_99        -0.9432998      -0.9912861      -0.8943064
V_111_100       -0.8948176      -1.026522       -1.025267
